context,model,seed,test_n,recal_delta,raw_auroc,raw_ap,raw_brier,raw_mean_pred,raw_observed_rate,raw_cal_intercept,raw_cal_slope,raw_cal_warning,raw_ece5,raw_ece10,raw_ece20,recal_auroc,recal_ap,recal_brier,recal_mean_pred,recal_observed_rate,recal_cal_intercept,recal_cal_slope,recal_cal_warning,recal_ece5,recal_ece10,recal_ece20,ece10_improvement,brier_improvement,source_segment,target_segment
in_domain,logreg,0,26961,0.0011159339919686317,0.6364914225232624,0.23262576978613053,0.12783258216960192,0.1558254809089393,0.15596602499907272,-0.2763119065106057,0.8262073827139557,,0.009512735753860954,0.010534788895433389,0.011530287374406669,0.6364914225232624,0.23262576978613053,0.12783374179173565,0.15596602480506055,0.15596602499907272,-0.2772142490598915,0.8262247186455506,,0.009459197151680573,0.010530045986550086,0.011514138620242956,4.742908883302241e-06,-1.1596221337339951e-06,,
in_domain,hgb,0,26961,0.0018174294382333755,0.6523776457853349,0.24063155100946382,0.12677106607191796,0.15573519291863358,0.15596602499907272,0.10179011947629091,1.062594470462249,,0.005144361754381643,0.006193116610266017,0.010274623721954297,0.6523776457853349,0.24063155100946382,0.1267704736714253,0.15596602529234685,0.15596602499907272,0.09988005963140477,1.0626052019965502,,0.005035559332167981,0.006120041391580713,0.010253412359180553,7.307521868530394e-05,5.924004926605164e-07,,
in_domain,rf,0,26961,0.09364705765619874,0.6118020330031734,0.20976874574402582,0.1303755144261876,0.14466500995264767,0.15596602499907272,-0.6151123874038738,0.5819462345355947,,0.02978648170814635,0.029959323961771943,0.03026173608792948,0.6118020330031734,0.20976874574402582,0.13054872168216408,0.1559660249448285,0.15596602499907272,-0.669264293053468,0.5821149234882388,,0.027123490149881867,0.029048385961102603,0.0290483859611026,0.0009109380006693396,-0.0001732072559764708,,
in_domain,rf,1,26961,0.09109019301831722,0.6108511293567974,0.20816746922053964,0.13050809564432575,0.14496334211144493,0.15596602499907272,-0.6209036763695779,0.5796591852982282,,0.02957543612378374,0.029575436123783744,0.029743827503925423,0.6108511293567974,0.20816746922053964,0.13068379381315162,0.1559660247591706,0.15596602499907272,-0.6730123438663596,0.5799562146999399,,0.027105489011209856,0.027105489011209835,0.02781831322174158,0.0024699471125739086,-0.00017569816882587186,,
in_domain,rf,2,26961,0.09274005424231291,0.6136584588946397,0.209943740221938,0.13032464959674261,0.1447714600101381,0.15596602499907272,-0.6107068891449827,0.5847679942117963,,0.029373663192512646,0.02937366319251265,0.02937366319251264,0.6136584588946397,0.209943740221938,0.1304925447981771,0.15596602414987631,0.15596602499907272,-0.6646614715562079,0.5849086540883293,,0.02553153666908764,0.026921918230632145,0.02692191823063214,0.0024517449618805046,-0.00016789520143448144,,
temporal,logreg,0,293057,0.479615421500057,0.6533517192543357,0.3499285613416059,0.17471062325919942,0.16173019597489796,0.23281818895300233,0.29807420282661495,0.88555353380191,,0.07108799297810436,0.07108799297810436,0.07108799297810438,0.6533517177223721,0.349907390860322,0.1693989185772956,0.23281818836456344,0.23281818895300233,-0.12663046180787188,0.8855177551898968,,0.006092470280608884,0.006097585275801305,0.00666055580940265,0.06499040770230306,0.005311704681903812,,
temporal,hgb,0,293057,0.5088538164272904,0.6591534712503592,0.3552157008952744,0.1751454656039749,0.15723873594832674,0.23281818895300233,0.634831865784301,1.0777270003959447,,0.07557945300467557,0.07557945300467558,0.07557945300467558,0.6591534712503592,0.3552157008952744,0.16855723688120883,0.2328181881112759,0.23281818895300233,0.08603609606373999,1.0774422800716028,,0.004617212306874932,0.005148381973101157,0.005595997776171449,0.07043107103157442,0.006588228722766071,,
temporal,rf,0,293057,0.5671995342709124,0.6221946351554695,0.3158447824575604,0.1797679181107354,0.15140847457434334,0.23281818895300233,-0.04038007381479642,0.639319947758283,,0.08140971437865897,0.081409714378659,0.081409714378659,0.6221946351554695,0.3158447824575604,0.174362770805268,0.23281818812506624,0.23281818895300233,-0.40547486150131873,0.637616036212699,,0.02917865121071142,0.0291769353353244,0.029260379585851086,0.0522327790433346,0.0054051473054674,,
temporal,rf,1,293057,0.5636031273752451,0.6224787681918569,0.31549234303390705,0.17970186861638215,0.15187275285467788,0.23281818895300233,-0.04573629707013992,0.6374110316264271,,0.08094543609832443,0.08094543609832444,0.08094543609832446,0.6224787681918569,0.31549234303390705,0.17438141080797903,0.232818189119732,0.23281818895300233,-0.40527666134079754,0.6372698143426401,,0.029273727518869933,0.02927201625879998,0.0292720162588,0.05167341983952446,0.005320457808403123,,
temporal,rf,2,293057,0.5671250633895397,0.6219435269853165,0.3156517811343261,0.17979808546915219,0.15144491799661272,0.23281818895300233,-0.0456605820854879,0.6362153256683744,,0.08137327095638958,0.0813732709563896,0.08137327095638959,0.6219435269853165,0.3156517811343261,0.17442457392313152,0.2328181889105131,0.23281818895300233,-0.40587792923637667,0.6367219618968939,,0.0293062455184842,0.029311354349662273,0.029311354349662287,0.052061916606727335,0.005373511546020671,,
cross_segment,logreg,0,32804,-0.2256917767226696,0.6407629862590355,0.2035524821369094,0.11227065596987801,0.15892201268357142,0.13196561394951836,-0.3741668167104582,0.9050179357014537,,0.02695639873405306,0.026956398734053054,0.027274672912947804,0.6407629862590355,0.2035524821369094,0.11134285159396265,0.13196561319012434,0.13196561394951836,-0.1682994945456394,0.9057305796372116,,0.003257057122746843,0.005703863365943122,0.00893047722898443,0.02125253536810993,0.0009278043759153587,debt_consolidation,credit_card
cross_segment,hgb,0,32804,-0.2233584877103567,0.6529691966566419,0.21038772976632866,0.1114587533942446,0.15880458322455834,0.13196561394951836,-0.053254800352690534,1.1086279010330111,,0.026838969275040012,0.026838969275039995,0.02683896927504,0.6529691966566419,0.21038772976632866,0.11075047241965313,0.13196561466367934,0.13196561394951836,0.19626105445534248,1.1099364474885005,,0.004954459599550528,0.004967616542311653,0.007028790869266302,0.02187135273272834,0.0007082809745914687,debt_consolidation,credit_card
cross_segment,rf,0,32804,-0.14547065366059542,0.6132106618673783,0.1828037522050478,0.11448585301250526,0.148526297605983,0.13196561394951836,-0.8341066198504249,0.5801324909859145,,0.029160163394707967,0.029331280738121364,0.030031398609925618,0.6132106618673783,0.1828037522050478,0.11368891028345554,0.1319656136342684,0.13196561394951836,-0.7506765528319079,0.5797065870100554,,0.023369108896132945,0.024705033562829028,0.025103910648029623,0.004626247175292336,0.0007969427290497183,debt_consolidation,credit_card
cross_segment,rf,1,32804,-0.14659559819847345,0.613486507375884,0.18277341992196242,0.11452472767548671,0.148649453318701,0.13196561394951836,-0.8364411489780256,0.5789435278611751,,0.02942293622728936,0.030302706986952817,0.03062238344917287,0.613486507375884,0.18277341992196242,0.1137123898511989,0.13196561479878222,0.13196561394951836,-0.7524226808278761,0.5785669235199243,,0.025622012565673417,0.025613583250074977,0.02565934015725919,0.00468912373687784,0.0008123378242878149,debt_consolidation,credit_card
cross_segment,rf,2,32804,-0.14929568860679865,0.6131625797473033,0.18318790566364707,0.11452027564389168,0.14897685241637199,0.13196561394951836,-0.8418374206473088,0.5767459859284809,,0.0298816201276267,0.029958643254887615,0.030440698288826562,0.6131625797473033,0.18318790566364707,0.11368894839952177,0.13196561447052224,0.13196561394951836,-0.7566232350605453,0.5764237692403189,,0.025424543417878677,0.025416133696312432,0.025674839342621724,0.004542509558575183,0.000831327244369906,debt_consolidation,credit_card
