context,model,seed,train_n,test_n,train_default_rate,test_default_rate,auroc,auroc_ci_lo,auroc_ci_hi,auroc_n_boot,average_precision,brier,source_segment,target_segment
in_domain,logreg,0,107843,26961,0.15595819849225262,0.15596602499907272,0.6364914225232624,0.627474270952505,0.6453184229603063,2000,0.23262576978613053,0.12783258216960192,,
in_domain,hgb,0,107843,26961,0.15595819849225262,0.15596602499907272,0.6523776457853349,0.6437694531154484,0.6610523270187809,2000,0.24063155100946382,0.12677106607191796,,
in_domain,rf,0,107843,26961,0.15595819849225262,0.15596602499907272,0.6118020330031734,0.6025078767430759,0.6205464655879764,2000,0.20976874574402582,0.1303755144261876,,
in_domain,rf,1,107843,26961,0.15595819849225262,0.15596602499907272,0.6108511293567974,0.6014458446931601,0.6198322806301081,2000,0.20816746922053964,0.13050809564432575,,
in_domain,rf,2,107843,26961,0.15595819849225262,0.15596602499907272,0.6136584588946397,0.6046462195940661,0.6224434827933989,2000,0.209943740221938,0.13032464959674261,,
temporal,logreg,0,134804,293057,0.15595976380522833,0.23281818895300233,0.6533517192543357,0.6510761416704283,0.6555527051654578,2000,0.3499285613416059,0.17471062325919942,,
temporal,hgb,0,134804,293057,0.15595976380522833,0.23281818895300233,0.6591534712503592,0.6569458943979188,0.6614719770499575,2000,0.3552157008952744,0.1751454656039749,,
temporal,rf,0,134804,293057,0.15595976380522833,0.23281818895300233,0.6221946351554695,0.6199830564613918,0.6245926108308564,2000,0.3158447824575604,0.1797679181107354,,
temporal,rf,1,134804,293057,0.15595976380522833,0.23281818895300233,0.6224787681918569,0.6202083514899387,0.6247747066461202,2000,0.31549234303390705,0.17970186861638215,,
temporal,rf,2,134804,293057,0.15595976380522833,0.23281818895300233,0.6219435269853165,0.6196535722473616,0.624226478993533,2000,0.3156517811343261,0.17979808546915219,,
cross_segment,logreg,0,80634,32804,0.1636406478656646,0.13196561394951836,0.6407629862590355,0.6322110985895266,0.6493667576864817,2000,0.2035524821369094,0.11227065596987801,debt_consolidation,credit_card
cross_segment,hgb,0,80634,32804,0.1636406478656646,0.13196561394951836,0.6529691966566419,0.6448258959425259,0.6613200917610838,2000,0.21038772976632866,0.1114587533942446,debt_consolidation,credit_card
cross_segment,rf,0,80634,32804,0.1636406478656646,0.13196561394951836,0.6132106618673783,0.6043085194762391,0.6224985972979218,2000,0.1828037522050478,0.11448585301250526,debt_consolidation,credit_card
cross_segment,rf,1,80634,32804,0.1636406478656646,0.13196561394951836,0.613486507375884,0.6045511512838071,0.6220847019501984,2000,0.18277341992196242,0.11452472767548671,debt_consolidation,credit_card
cross_segment,rf,2,80634,32804,0.1636406478656646,0.13196561394951836,0.6131625797473033,0.6043912617004359,0.6222791775788026,2000,0.18318790566364707,0.11452027564389168,debt_consolidation,credit_card
