level,overwrite_fraction,fraction_flipped,syn_base_rate,real_base_rate,model,seed,target_test_n,source_auroc,oracle_auroc,oracle_gap_auroc,source_ap,oracle_ap,oracle_gap_ap,source_brier,oracle_brier,oracle_gap_brier
weak,0.05,0.015485042159033909,0.2324564845746732,0.23281818895300233,logreg,0,58612,0.6628580725563328,0.6733836298885938,0.010525557332261015,0.3567954205407515,0.3691053491734431,0.012309928632691647,0.17363444030752465,0.16662671196596615,0.0070077283415584946
weak,0.05,0.015485042159033909,0.2324564845746732,0.23281818895300233,hgb,0,58612,0.6668500637187134,0.6815527021771631,0.014702638458449768,0.36022798447111876,0.37901032917651395,0.018782344705395193,0.17430280758225314,0.16534876911570648,0.00895403846654666
weak,0.05,0.015485042159033909,0.2324564845746732,0.23281818895300233,rf,0,58612,0.6316666820975602,0.6564803768999118,0.024813694802351627,0.3229805336665486,0.350059194135404,0.027078660468855376,0.17860212300097816,0.16948982669457144,0.009112296306406725
weak,0.05,0.015485042159033909,0.2324564845746732,0.23281818895300233,rf,1,58612,0.6322060648305536,0.6545393252240249,0.022333260393471277,0.32297362474798696,0.3497280810417674,0.026754456293780426,0.17851950719230797,0.16970500542171874,0.008814501770589234
weak,0.05,0.015485042159033909,0.2324564845746732,0.23281818895300233,rf,2,58612,0.6314859285546917,0.6562452304773876,0.02475930192269593,0.32286279501782844,0.3507594842645775,0.02789668924674904,0.17863907542634425,0.16946180001061595,0.009177275415728298
medium,0.15,0.04645853878255766,0.2323711769382748,0.23281818895300233,logreg,0,58612,0.6742600201856739,0.6931077680248066,0.018847747839132678,0.37074481113074187,0.39749393956489704,0.026749128434155167,0.17227954616718893,0.16331423429318376,0.008965311874005177
medium,0.15,0.04645853878255766,0.2323711769382748,0.23281818895300233,hgb,0,58612,0.677086947126381,0.7062119666436376,0.029125019517256656,0.3713700024235765,0.4164645943940939,0.045094591970517406,0.17330571165781028,0.1606557986687121,0.012649912989098178
medium,0.15,0.04645853878255766,0.2323711769382748,0.23281818895300233,rf,0,58612,0.6395093513443015,0.6814658321374933,0.04195648079319181,0.33133495234815086,0.38672148161751263,0.05538652926936177,0.17761463181601037,0.16514700838660265,0.012467623429407715
medium,0.15,0.04645853878255766,0.2323711769382748,0.23281818895300233,rf,1,58612,0.6418299172585813,0.6814014619077983,0.03957154464921697,0.33363092985147624,0.38675124977338304,0.0531203199219068,0.1772862068442564,0.1652010244394398,0.012085182404816597
medium,0.15,0.04645853878255766,0.2323711769382748,0.23281818895300233,rf,2,58612,0.6402128807235824,0.6817198436843985,0.04150696296081613,0.3320130091629173,0.3875227500200872,0.055509740857169865,0.17753219515154273,0.16510870034198535,0.012423494809557373
strong,0.3,0.09225167800120795,0.23272605670569207,0.23281818895300233,logreg,0,58612,0.7052139023082378,0.7471962671751592,0.04198236486692142,0.4091494506716457,0.47734585475736274,0.06819640408571703,0.16930879011234903,0.15244059849455577,0.016868191617793266
strong,0.3,0.09225167800120795,0.23272605670569207,0.23281818895300233,hgb,0,58612,0.7051411660740841,0.7630150768862667,0.05787391081218263,0.4058651277415794,0.5028457615727662,0.09698063383118677,0.17099181397571384,0.14603427180768225,0.024957542168031588
strong,0.3,0.09225167800120795,0.23272605670569207,0.23281818895300233,rf,0,58612,0.6635185170957805,0.7445677611058951,0.0810492440101146,0.3537691956347236,0.4768714148215544,0.12310221918683079,0.1755109448577083,0.1510369183026608,0.02447402655504749
strong,0.3,0.09225167800120795,0.23272605670569207,0.23281818895300233,rf,1,58612,0.6652521783903058,0.7442488749899542,0.07899669659964836,0.35585046099186046,0.47579395363341104,0.11994349264155058,0.17519203576059508,0.15109639057606708,0.024095645184528003
strong,0.3,0.09225167800120795,0.23272605670569207,0.23281818895300233,rf,2,58612,0.6644255217974282,0.7447687670858322,0.08034324528840397,0.3554213415774795,0.4766467880316809,0.12122544645420141,0.17535335255579063,0.15098396175982165,0.024369390795968976
